Size,Threshold,Time,Array Type
2400,50,1362.4,Reversed Array
2400,50,928.8,Nearly Sorted Array
2500,5,2039.9,Random Array
2500,5,1965.8,Reversed Array
2500,5,2086.9,Nearly Sorted Array
2500,10,1603.6,Random Array
2500,10,1363.4,Reversed Array
2500,10,1347.4,Nearly Sorted Array
2500,15,1539.2,Random Array
2500,15,1363.2,Reversed Array
2500,15,1474,Nearly Sorted Array
2500,20,1278.1,Random Array
2500,20,1244.1,Reversed Array
2500,20,1031.7,Nearly Sorted Array
2500,30,1304.1,Random Array
2500,30,1297.8,Reversed Array
2500,30,1030.2,Nearly Sorted Array
2500,50,1272,Random Array
2500,50,1506.6,Reversed Array
2500,50,883.8,Nearly Sorted Array
2600,5,2153.2,Random Array
2600,5,2125.4,Reversed Array
2600,5,2124,Nearly Sorted Array
2600,10,1642.7,Random Array
2600,10,1602.3,Reversed Array
2600,10,1589.6,Nearly Sorted Array
2600,15,1645.3,Random Array
2600,15,1409.9,Reversed Array
2600,15,1353.9,Nearly Sorted Array
2600,20,1383.3,Random Array
2600,20,1327.7,Reversed Array
2600,20,1165.9,Nearly Sorted Array
2600,30,1305.7,Random Array
2600,30,1306.6,Reversed Array
2600,30,1072.7,Nearly Sorted Array
2600,50,1306.9,Random Array
2600,50,1783.5,Reversed Array
2600,50,988.5,Nearly Sorted Array
2700,5,2571.9,Random Array
2700,5,2359.9,Reversed Array
2700,5,2334.8,Nearly Sorted Array
2700,10,1907.1,Random Array
2700,10,1856.5,Reversed Array
2700,10,1714.9,Nearly Sorted Array
2700,15,1626.8,Random Array
2700,15,1514.5,Reversed Array
2700,15,1464.9,Nearly Sorted Array
2700,20,1647.4,Random Array
2700,20,1460,Reversed Array
2700,20,1437.9,Nearly Sorted Array
2700,30,1353.7,Random Array
2700,30,1359.7,Reversed Array
2700,30,1119.2,Nearly Sorted Array
2700,50,1360.6,Random Array
2700,50,1620.6,Reversed Array
2700,50,996.1,Nearly Sorted Array
2800,5,2704.7,Random Array
2800,5,2639.4,Reversed Array
2800,5,2516.5,Nearly Sorted Array
2800,10,2133.7,Random Array
2800,10,1945.5,Reversed Array
2800,10,1999.3,Nearly Sorted Array
2800,15,1835.2,Random Array
2800,15,1758.2,Reversed Array
2800,15,1574,Nearly Sorted Array
2800,20,1630.2,Random Array
2800,20,1569.1,Reversed Array
2800,20,1490.8,Nearly Sorted Array
2800,30,1400.7,Random Array
2800,30,1421.8,Reversed Array
2800,30,1146.1,Nearly Sorted Array
2800,50,1412.9,Random Array
2800,50,1721.1,Reversed Array
2800,50,997.7,Nearly Sorted Array
2900,5,2932.7,Random Array
2900,5,3164.4,Reversed Array
2900,5,2954.1,Nearly Sorted Array
2900,10,2451.5,Random Array
2900,10,2165.4,Reversed Array
2900,10,2070.3,Nearly Sorted Array
2900,15,1680.4,Random Array
2900,15,1616.5,Reversed Array
2900,15,1534.3,Nearly Sorted Array
2900,20,1690.1,Random Array
2900,20,1601.2,Reversed Array
2900,20,1582.7,Nearly Sorted Array
2900,30,1498.1,Random Array
2900,30,1531.4,Reversed Array
2900,30,1204.4,Nearly Sorted Array
2900,50,1488.1,Random Array
2900,50,1826.4,Reversed Array
2900,50,1047.5,Nearly Sorted Array
3000,5,3185.1,Random Array
3000,5,2926.6,Reversed Array
3000,5,3184.1,Nearly Sorted Array
3000,10,2461.4,Random Array
3000,10,2010.4,Reversed Array
3000,10,2265.9,Nearly Sorted Array
3000,15,1768.7,Random Array
3000,15,1699.1,Reversed Array
3000,15,1537.4,Nearly Sorted Array
3000,20,2158.4,Random Array
3000,20,2117.8,Reversed Array
3000,20,1600.1,Nearly Sorted Array
3000,30,1552.5,Random Array
3000,30,1611.1,Reversed Array
3000,30,1227.7,Nearly Sorted Array
3000,50,1570.8,Random Array
3000,50,1934.6,Reversed Array
3000,50,1084.9,Nearly Sorted Array
3100,5,3443.2,Random Array
3100,5,3475.5,Reversed Array
3100,5,3584.5,Nearly Sorted Array
3100,10,2294.7,Random Array
3100,10,2073.3,Reversed Array
3100,10,2101.3,Nearly Sorted Array
