Size,Threshold,Time,Array Type
9400,50,5553.3,Random Array
9400,50,5905.5,Reversed Array
9400,50,4146.6,Nearly Sorted Array
9500,5,9062.2,Random Array
9500,5,8008.3,Reversed Array
9500,5,8336.6,Nearly Sorted Array
9500,10,6855.8,Random Array
9500,10,6043.2,Reversed Array
9500,10,6066.9,Nearly Sorted Array
9500,15,6904.8,Random Array
9500,15,5969.7,Reversed Array
9500,15,6087.7,Nearly Sorted Array
9500,20,5871.8,Random Array
9500,20,5514.3,Reversed Array
9500,20,4929.3,Nearly Sorted Array
9500,30,5682.2,Random Array
9500,30,5374,Reversed Array
9500,30,4702.9,Nearly Sorted Array
9500,50,5500,Random Array
9500,50,5998.1,Reversed Array
9500,50,4223.7,Nearly Sorted Array
9600,5,9264.7,Random Array
9600,5,8268.5,Reversed Array
9600,5,8584.4,Nearly Sorted Array
9600,10,6929.5,Random Array
9600,10,6005.4,Reversed Array
9600,10,6157.4,Nearly Sorted Array
9600,15,6898,Random Array
9600,15,6218.1,Reversed Array
9600,15,6297.5,Nearly Sorted Array
9600,20,5819.6,Random Array
9600,20,5326.2,Reversed Array
9600,20,4777.5,Nearly Sorted Array
9600,30,5781.5,Random Array
9600,30,5379.7,Reversed Array
9600,30,4850.5,Nearly Sorted Array
9600,50,5989.1,Random Array
9600,50,6228.6,Reversed Array
9600,50,4206.5,Nearly Sorted Array
9700,5,9343.2,Random Array
9700,5,8042.2,Reversed Array
9700,5,8478,Nearly Sorted Array
9700,10,6986.9,Random Array
9700,10,6218.9,Reversed Array
9700,10,6104.1,Nearly Sorted Array
9700,15,7099.7,Random Array
9700,15,6079.3,Reversed Array
9700,15,6064.3,Nearly Sorted Array
9700,20,5855.4,Random Array
9700,20,5475.4,Reversed Array
9700,20,4859.5,Nearly Sorted Array
9700,30,5778.7,Random Array
9700,30,5408.3,Reversed Array
9700,30,4792,Nearly Sorted Array
9700,50,6304.2,Random Array
9700,50,6213.5,Reversed Array
9700,50,4346.7,Nearly Sorted Array
9800,5,9278.2,Random Array
9800,5,8330.9,Reversed Array
9800,5,8529.1,Nearly Sorted Array
9800,10,6992,Random Array
9800,10,6227.3,Reversed Array
9800,10,6272.1,Nearly Sorted Array
9800,15,6880.2,Random Array
9800,15,6362.3,Reversed Array
9800,15,6256.4,Nearly Sorted Array
9800,20,6058.3,Random Array
9800,20,5530.5,Reversed Array
9800,20,7001.7,Nearly Sorted Array
9800,30,6496.2,Random Array
9800,30,5667.7,Reversed Array
9800,30,4938.2,Nearly Sorted Array
9800,50,5778.9,Random Array
9800,50,6552.2,Reversed Array
9800,50,4292.4,Nearly Sorted Array
9900,5,9320.9,Random Array
9900,5,8034.9,Reversed Array
9900,5,8415.7,Nearly Sorted Array
9900,10,7019.2,Random Array
9900,10,6174.7,Reversed Array
9900,10,6069.8,Nearly Sorted Array
9900,15,6998.2,Random Array
9900,15,6321.2,Reversed Array
9900,15,6226.5,Nearly Sorted Array
9900,20,5919.5,Random Array
9900,20,5557.3,Reversed Array
9900,20,4875.4,Nearly Sorted Array
9900,30,5893,Random Array
9900,30,5737.5,Reversed Array
9900,30,4990.7,Nearly Sorted Array
9900,50,5702.8,Random Array
9900,50,6307.2,Reversed Array
9900,50,4323.2,Nearly Sorted Array
10000,5,9048.8,Random Array
10000,5,8129.3,Reversed Array
10000,5,8649.7,Nearly Sorted Array
10000,10,6992.9,Random Array
10000,10,6182.4,Reversed Array
10000,10,6162.1,Nearly Sorted Array
10000,15,6908.6,Random Array
10000,15,6189.1,Reversed Array
10000,15,6119.3,Nearly Sorted Array
10000,20,5983.9,Random Array
10000,20,5551.9,Reversed Array
10000,20,4940.1,Nearly Sorted Array
10000,30,5910.4,Random Array
10000,30,5653.8,Reversed Array
10000,30,5000.5,Nearly Sorted Array
10000,50,5881.9,Random Array
10000,50,6426,Reversed Array
10000,50,4314.6,Nearly Sorted Array
