N	Scale	ApproxArea	Error
60600	1.4x1.4	0.944714	0.000196345
61100	1.4x1.4	0.944457	6.02301e-05
61600	1.4x1.4	0.94465	0.000132814
62100	1.4x1.4	0.945029	0.000512122
62600	1.4x1.4	0.944495	2.26172e-05
63100	1.4x1.4	0.944248	0.000269325
63600	1.4x1.4	0.944067	0.000450519
64100	1.4x1.4	0.944225	0.000292537
64600	1.4x1.4	0.944016	0.000501087
65100	1.4x1.4	0.944232	0.000284928
65600	1.4x1.4	0.94331	0.00120743
66100	1.4x1.4	0.943439	0.00107815
66600	1.4x1.4	0.943831	0.000685955
67100	1.4x1.4	0.943633	0.000883803
67600	1.4x1.4	0.943496	0.00102074
68100	1.4x1.4	0.948542	0.00402496
68600	1.4x1.4	0.949086	0.00456853
69100	1.4x1.4	0.948657	0.00413983
69600	1.4x1.4	0.948854	0.00433684
70100	1.4x1.4	0.949132	0.00461491
70600	1.4x1.4	0.949018	0.00450038
71100	1.4x1.4	0.948877	0.00435989
71600	1.4x1.4	0.948985	0.00446773
72100	1.4x1.4	0.94939	0.00487311
72600	1.4x1.4	0.949412	0.00489494
73100	1.4x1.4	0.949085	0.0045679
73600	1.4x1.4	0.949109	0.00459151
74100	1.4x1.4	0.94937	0.00485285
74600	1.4x1.4	0.94947	0.00495306
75100	1.4x1.4	0.94936	0.00484313
75600	1.4x1.4	0.949433	0.00491615
76100	1.4x1.4	0.94899	0.00447309
76600	1.4x1.4	0.949372	0.00485462
77100	1.4x1.4	0.949545	0.00502782
77600	1.4x1.4	0.949564	0.00504725
78100	1.4x1.4	0.949082	0.0045645
78600	1.4x1.4	0.949104	0.00458663
79100	1.4x1.4	0.949126	0.00460848
79600	1.4x1.4	0.949172	0.00465467
80100	1.4x1.4	0.949462	0.00494499
80600	1.4x1.4	0.949165	0.00464807
81100	1.4x1.4	0.948896	0.00437899
81600	1.4x1.4	0.949207	0.00468968
82100	1.4x1.4	0.949012	0.00449524
82600	1.4x1.4	0.949437	0.0049201
83100	1.4x1.4	0.949362	0.00484455
83600	1.4x1.4	0.949568	0.00505124
84100	1.4x1.4	0.94961	0.00509233
84600	1.4x1.4	0.949835	0.00531828
85100	1.4x1.4	0.949944	0.00542641
85600	1.4x1.4	0.949982	0.00546459
86100	1.4x1.4	0.950429	0.00591208
86600	1.4x1.4	0.950532	0.00601492
87100	1.4x1.4	0.950454	0.00593655
87600	1.4x1.4	0.950421	0.00590382
88100	1.4x1.4	0.950611	0.00609394
88600	1.4x1.4	0.950357	0.00583947
89100	1.4x1.4	0.950083	0.00556587
89600	1.4x1.4	0.949834	0.00531719
90100	1.4x1.4	0.949458	0.00494075
90600	1.4x1.4	0.949172	0.004655
91100	1.4x1.4	0.949621	0.00510389
91600	1.4x1.4	0.949445	0.00492736
92100	1.4x1.4	0.949206	0.00468889
92600	1.4x1.4	0.949394	0.00487633
93100	1.4x1.4	0.949411	0.00489334
93600	1.4x1.4	0.949344	0.0048264
94100	1.4x1.4	0.940883	0.00363387
94600	1.4x1.4	0.940862	0.00365503
95100	1.4x1.4	0.94045	0.00406755
95600	1.4x1.4	0.940041	0.00447576
96100	1.4x1.4	0.940351	0.00416589
96600	1.4x1.4	0.940151	0.00436646
97100	1.4x1.4	0.940356	0.00416126
97600	1.4x1.4	0.940639	0.00387784
98100	1.4x1.4	0.94082	0.00369721
98600	1.4x1.4	0.941297	0.00322023
99100	1.4x1.4	0.941492	0.00302496
99600	1.4x1.4	0.941312	0.00320554
